ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x8007","0x02","0","1","0","0","55","6","0x2bf5","104.17.108.108","192.168.1.2","466","0x02","443","49969","1","1","414","32","0x0018","0","0","0","1","1","0","0","8","0xa209","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xa49c","192.168.1.2","104.17.108.108","52","0x00","49969","443","1","415","0","32","0x0010","0","0","0","0","1","0","0","2041","0xdc89","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xa33d","192.168.1.2","104.17.108.108","401","0x02","49969","443","1","415","349","32","0x0018","0","0","0","1","1","0","0","2048","0xd9c9","0",
"4","20",,"0x8008","0x02","0","1","0","0","55","6","0x2d94","104.17.108.108","192.168.1.2","52","0x00","443","49969","415","350","0","32","0x0010","0","0","0","0","1","0","0","8","0xe2aa","0",
"4","20",,"0x863c","0x00","0","0","0","0","64","6","0x482b","192.168.1.2","18.161.216.29","40","0x00","49956","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x53d4","0",
"4","20",,"0x2f7c","0x00","0","0","0","0","64","6","0x9eeb","192.168.1.2","18.161.216.29","40","0x00","49955","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0xc3f6","0",
"4","20",,"0x49b7","0x00","0","0","0","0","245","6","0xcfa3","18.161.216.29","192.168.1.2","52","0x00","443","49956","1","2","0","32","0x0010","0","0","0","0","1","0","0","153","0xa0ee","0",
"4","20",,"0x7d9f","0x00","0","0","0","0","244","6","0x9cbb","18.161.216.29","192.168.1.2","52","0x00","443","49955","1","2","0","32","0x0010","0","0","0","0","1","0","0","153","0xf605","0",
"4","20",,"0xa66f","0x00","0","0","0","0","64","6","0x27f8","192.168.1.2","18.161.216.29","40","0x00","49957","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x95ca","0",
"4","20",,"0xe3ff","0x00","0","0","0","0","245","6","0x355b","18.161.216.29","192.168.1.2","52","0x00","443","49957","1","2","0","32","0x0010","0","0","0","0","1","0","0","153","0x5885","0",
"4","20",,"0x6db9","0x00","0","0","0","0","64","6","0xbf85","192.168.1.2","52.205.87.26","40","0x00","49962","443","1","1","0","20","0x0010","0","0","0","0","1","0","0","2048","0x4784","0",
"4","20",,"0xfb86","0x02","0","1","0","0","42","6","0xfd3f","54.227.95.54","192.168.1.2","76","0x22","443","49890","25","29","24","32","0x0018","0","0","0","1","1","0","0","530","0x313e","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xe300","192.168.1.2","54.227.95.54","52","0x00","49890","443","29","49","0","32","0x0010","0","0","0","0","1","0","0","2048","0x6ab8","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xe2e2","192.168.1.2","54.227.95.54","80","0x02","49890","443","29","49","28","32","0x0018","0","0","0","1","1","0","0","2048","0x3611","0",
"4","20",,"0xc67c","0x02","0","1","0","0","238","6","0x7895","52.205.87.26","192.168.1.2","52","0x20","443","49962","1","2","0","32","0x0010","0","0","0","0","1","0","0","110","0x2726","0",
"4","20",,"0xb0be","0x02","0","1","0","0","55","6","0xfc3d","104.17.107.108","192.168.1.2","466","0x02","443","49776","1","1","414","32","0x0018","0","0","0","1","1","0","0","8","0x6263","0",
